iter	Logloss
0	0.6815708777
1	0.6692805296
2	0.6582752302
3	0.6476249024
4	0.6363994757
5	0.6273740348
6	0.618849033
7	0.6096248996
8	0.6001330848
9	0.5912725289
10	0.5846721489
11	0.5771523725
12	0.5709184156
13	0.5647334683
14	0.5580487426
15	0.5514420848
16	0.5451821982
17	0.5398290531
18	0.5346178686
19	0.5292086678
20	0.5241480938
21	0.5203602377
22	0.5161188991
23	0.5121689973
24	0.5088355755
25	0.5050829554
26	0.5017881742
27	0.4984899475
28	0.4947453155
29	0.4918720964
30	0.4894018597
31	0.4870385171
32	0.4839160897
33	0.4812690282
34	0.4788581292
35	0.4764872105
36	0.4742988992
37	0.472016599
38	0.4699425176
39	0.4677940573
40	0.4657197308
41	0.4638216297
42	0.4616637093
43	0.460375237
44	0.4588358104
45	0.456775637
46	0.4553494107
47	0.453600774
48	0.4519538155
49	0.4503996618
50	0.4490151963
51	0.4476658907
52	0.4464916479
53	0.4450448173
54	0.4439036194
55	0.4428681158
56	0.4417825333
57	0.4407900686
58	0.4399131051
59	0.4389854636
60	0.4380208615
61	0.437252411
62	0.4363167795
63	0.4357846275
64	0.4352721886
65	0.434589856
66	0.4336370738
67	0.4329645597
68	0.4323121375
69	0.4314029271
70	0.4307397223
71	0.4299947932
72	0.4293155574
73	0.4286290615
74	0.4280652422
75	0.4276023961
76	0.4270088498
77	0.426494214
78	0.4259861523
79	0.425519503
80	0.4248795546
81	0.4245172411
82	0.4241915156
83	0.4236626924
84	0.4231488343
85	0.4227727941
86	0.4223818366
87	0.421997501
88	0.4214843888
89	0.4210951017
90	0.4207291129
91	0.42024632
92	0.4199582502
93	0.4198123568
94	0.41939532
95	0.4189409579
96	0.4184625588
97	0.4181356453
98	0.4179266388
99	0.4178322157
100	0.4173444374
101	0.4171402279
102	0.4168283844
103	0.4165270273
104	0.4161962143
105	0.4157600454
106	0.4154543443
107	0.4152285635
108	0.4147996201
109	0.4146169821
110	0.414448107
111	0.4140047045
112	0.4136417918
113	0.4133293551
114	0.4132831558
115	0.4131413441
116	0.4129998162
117	0.4129405457
118	0.4127014025
119	0.4125025576
120	0.4122491568
121	0.4119736299
122	0.4117765066
123	0.4114434743
124	0.4111867068
125	0.4108117105
126	0.410565754
127	0.4103947451
128	0.4100718074
129	0.4098749879
130	0.4095592353
131	0.4093587092
132	0.4090977228
133	0.408746919
134	0.4085976188
135	0.4084216726
136	0.407979851
137	0.4078544311
138	0.4075619262
139	0.4074453771
140	0.407309877
141	0.4070766229
142	0.4070436707
143	0.4068067902
144	0.4067426828
145	0.4066960225
146	0.4064236907
147	0.4061437362
148	0.4058767862
149	0.4056927069
150	0.4054089748
151	0.4051997019
152	0.4050638766
153	0.4049411084
154	0.4047771961
155	0.4046037394
156	0.4044961826
157	0.4043126053
158	0.4042903398
159	0.4040683831
160	0.4039911983
161	0.4038213805
162	0.4036071383
163	0.4035465104
164	0.4033151459
165	0.4032117354
166	0.4031289621
167	0.4029447966
168	0.4027699486
169	0.4025530377
170	0.4024609946
171	0.4024440712
172	0.4023033221
173	0.4022017824
174	0.4020395934
175	0.4019534268
176	0.4018847243
177	0.4018499605
178	0.4015921984
179	0.4013865026
180	0.401288931
181	0.4010460681
182	0.4007988713
183	0.4006024284
184	0.4004097685
185	0.4003639173
186	0.4002023062
187	0.4000095402
188	0.3998667971
189	0.3996899434
190	0.3995782678
191	0.3994488892
192	0.3992283645
193	0.3991644772
194	0.3990807252
195	0.3990408574
196	0.398965398
197	0.3989497701
198	0.3988836185
199	0.3987674707
200	0.398690225
201	0.3985542281
202	0.398399376
203	0.3983562413
204	0.398285067
205	0.3982500912
206	0.398197958
207	0.3980728847
208	0.3978652876
209	0.397639738
210	0.3975249622
211	0.397523696
212	0.3973328557
213	0.3970931722
214	0.397019387
215	0.3968545407
216	0.3968244536
217	0.3968128554
218	0.3966319198
219	0.3964106819
220	0.3963186473
221	0.3962541547
222	0.3961187208
223	0.3960996545
224	0.3959118896
225	0.395812882
226	0.395736902
227	0.3957011731
228	0.3955692498
229	0.3954894651
230	0.3952915471
231	0.3950845709
232	0.395036905
233	0.3949098443
234	0.3948430999
235	0.3947583
236	0.394739443
237	0.3947332719
238	0.3946281467
239	0.394562453
240	0.394545549
241	0.3944855194
242	0.3944241646
243	0.3943862794
244	0.394385953
245	0.3942641578
246	0.3941993858
247	0.3940573881
248	0.3939680454
249	0.3938610184
250	0.3936947565
251	0.3935577231
252	0.3933419094
253	0.3932384486
254	0.3931878852
255	0.3930819504
256	0.3930373239
257	0.3930155986
258	0.3929833937
259	0.3929119886
260	0.3927710928
261	0.3927484177
262	0.3926170571
263	0.3926016205
264	0.3925875809
265	0.3925714752
266	0.3924999882
267	0.3923193279
268	0.3922250175
269	0.3921513731
270	0.3920865009
271	0.3919384512
272	0.3919251474
273	0.391734425
274	0.3916032823
275	0.3915018269
276	0.3914239816
277	0.391399362
278	0.3913668049
279	0.3913473091
280	0.3913469033
281	0.391235216
282	0.3911815313
283	0.3911388402
284	0.3910376766
285	0.3908925687
286	0.3908214292
287	0.3907197046
288	0.39070963
289	0.3906747195
290	0.3904585198
291	0.3903904735
292	0.3903125064
293	0.3902104563
294	0.3900882586
295	0.3900602366
296	0.3899853857
297	0.3898953447
298	0.3898193916
299	0.3897505203
300	0.3896195187
301	0.3895084837
302	0.3895051443
303	0.389426245
304	0.3892989394
305	0.3892386805
306	0.3891619944
307	0.3891354178
308	0.3889898176
309	0.3888935989
310	0.388777287
311	0.3887033469
312	0.3886788815
313	0.3885165998
314	0.3885165735
315	0.3884253039
316	0.388329621
317	0.3882326549
318	0.3881790125
319	0.3881654018
320	0.3881329663
321	0.3881120184
322	0.3881085514
323	0.3881004654
324	0.3880212282
325	0.3877697836
326	0.3877175177
327	0.3876460329
328	0.3876460025
329	0.3876378068
330	0.3875950264
331	0.3875092649
332	0.3874407602
333	0.3873814549
334	0.3872760498
335	0.3872615351
336	0.3871741186
337	0.3871428015
338	0.387018011
339	0.3869721425
340	0.3869716051
341	0.3869383688
342	0.3869230317
343	0.386779667
344	0.3867125299
345	0.3866761017
346	0.3866026596
347	0.3865382208
348	0.3864444002
349	0.3864390644
350	0.3863485157
351	0.386197504
352	0.3861249586
353	0.3859848708
354	0.3859055622
355	0.3858914607
356	0.3857684855
357	0.3856869751
358	0.3855405508
359	0.385312168
360	0.3852471275
361	0.385115867
362	0.3850774573
363	0.3849986791
364	0.3849053346
365	0.3848236495
366	0.3847678201
367	0.3846086582
368	0.3846059968
369	0.3844318376
370	0.3842340553
371	0.384204575
372	0.3840941338
373	0.3840311391
374	0.3839754305
375	0.3839074032
376	0.3838574277
377	0.3838043137
378	0.3837489878
379	0.3836825063
380	0.3836149691
381	0.3835423245
382	0.3834416929
383	0.3833888506
384	0.3833888382
385	0.3832214822
386	0.3831981943
387	0.3831660699
388	0.3829920993
389	0.3829182167
390	0.3828786741
391	0.3826991739
392	0.3826633283
393	0.3825094581
394	0.3825013387
395	0.3823632037
396	0.3821689758
397	0.3820585801
398	0.3820131277
399	0.3818942809
400	0.381835446
401	0.3818011478
402	0.3817425452
403	0.3817178192
404	0.3817047743
405	0.3817006796
406	0.3815875415
407	0.3815079024
408	0.3814170317
409	0.3812679989
410	0.3811806712
411	0.3811640303
412	0.3811381375
413	0.3810827813
414	0.3810782548
415	0.3809975988
416	0.3809090134
417	0.3809028328
418	0.3808606554
419	0.3808487812
420	0.3808476337
421	0.3807827793
422	0.3806875044
423	0.3805981326
424	0.3804634761
425	0.3803254537
426	0.380244736
427	0.3801797649
428	0.3799769692
429	0.3799303448
430	0.3798559971
431	0.3798338067
432	0.3797883023
433	0.3797658722
434	0.3796754191
435	0.3795597898
436	0.3795345189
437	0.3794664424
438	0.3794300656
439	0.3793822429
440	0.3792352689
441	0.3791819883
442	0.3790864729
443	0.3790023031
444	0.3789016497
445	0.3788037333
446	0.378626676
447	0.3785596703
448	0.3784004992
449	0.3783279053
450	0.3782691021
451	0.378167161
452	0.3780410124
453	0.3778914344
454	0.3776933398
455	0.3776219598
456	0.3775465067
457	0.3773813726
458	0.3772963903
459	0.3770614062
460	0.3770069895
461	0.3769238465
462	0.3767884689
463	0.3767577845
464	0.3766420271
465	0.3765394824
466	0.3764620728
467	0.3763540738
468	0.3762559729
469	0.3761916247
470	0.3761436111
471	0.3760606433
472	0.3759039419
473	0.3758205568
474	0.375743142
475	0.375670109
476	0.3755971418
477	0.3755909002
478	0.3755174088
479	0.3754988814
480	0.375410763
481	0.3753084012
482	0.3752815749
483	0.3751781332
484	0.3751117511
485	0.3749366774
486	0.374883106
487	0.3748389912
488	0.3748119864
489	0.3747663855
490	0.3747126533
491	0.3746861165
492	0.3744965096
493	0.3744520007
494	0.374313315
495	0.3742339316
496	0.3741079991
497	0.374085928
498	0.3740243975
499	0.3739966296
500	0.3738589039
501	0.3737937212
502	0.3736892761
503	0.3735787334
504	0.3734539163
505	0.3733757017
506	0.3733399797
507	0.3732287149
508	0.3731037045
509	0.3730238926
510	0.372930949
511	0.3728188478
512	0.3727713158
513	0.3726111566
514	0.3725638846
515	0.3725095365
516	0.3724366437
517	0.3722527975
518	0.3721671137
519	0.3721311594
520	0.3719261942
521	0.3718060418
522	0.371779088
523	0.371667769
524	0.3715890383
525	0.3715593034
526	0.3714077991
527	0.3713661717
528	0.3712854006
529	0.3712208866
530	0.3710635117
531	0.3709995186
532	0.3709607476
533	0.370862355
534	0.3708246374
535	0.3707890641
536	0.3706785396
537	0.3706361491
538	0.3705971431
539	0.3705212119
540	0.3705058114
541	0.3703395332
542	0.3702552321
543	0.3701866105
544	0.3701234044
545	0.3700798082
546	0.3700602
547	0.3699616844
548	0.3699053902
549	0.3698081618
550	0.3696814788
551	0.3696567326
552	0.3695423752
553	0.3694421783
554	0.3694101739
555	0.3693400133
556	0.3693006241
557	0.3690983349
558	0.369040332
559	0.3689818845
560	0.3688901518
561	0.3687564956
562	0.3686997629
563	0.3686049422
564	0.3685204993
565	0.3684462795
566	0.3683713854
567	0.3683056579
568	0.3682732916
569	0.368081361
570	0.367910892
571	0.3678187307
572	0.3676272063
573	0.3675992775
574	0.3674958168
575	0.3674726985
576	0.3674179247
577	0.3673463677
578	0.36712909
579	0.367083046
580	0.3670372429
581	0.3670294434
582	0.3669664772
583	0.366895959
584	0.3668408673
585	0.3667999533
586	0.3666193454
587	0.3665765755
