iter	Passed	Remaining
0	197	197436
1	232	115861
2	266	88452
3	287	71707
4	326	64909
5	360	59674
6	377	53520
7	411	51016
8	445	49069
9	480	47578
10	497	44711
11	530	43666
12	552	41935
13	586	41294
14	619	40704
15	657	40414
16	691	40005
17	726	39644
18	761	39307
19	794	38922
20	828	38644
21	864	38412
22	897	38135
23	930	37856
24	949	37021
25	982	36820
26	1016	36632
27	1050	36456
28	1085	36330
29	1118	36149
30	1152	36012
31	1169	35364
32	1203	35257
33	1238	35179
34	1265	34888
35	1298	34784
36	1333	34716
37	1367	34616
38	1402	34568
39	1438	34514
40	1474	34495
41	1509	34427
42	1544	34367
43	1580	34333
44	1616	34314
45	1652	34269
46	1687	34226
47	1723	34176
48	1757	34104
49	1793	34080
50	1828	34022
51	1863	33968
52	1897	33907
53	1933	33867
54	1968	33827
55	2002	33762
56	2036	33689
57	2073	33680
58	2107	33612
59	2142	33569
60	2178	33529
61	2214	33501
62	2243	33361
63	2275	33281
64	2310	33237
65	2347	33214
66	2380	33154
67	2414	33088
68	2442	32953
69	2475	32885
70	2509	32832
71	2542	32770
72	2577	32727
73	2611	32679
74	2644	32616
75	2679	32577
76	2712	32515
77	2748	32484
78	2782	32440
79	2816	32388
80	2852	32358
81	2885	32300
82	2921	32276
83	2957	32247
84	2993	32224
85	3027	32179
86	3063	32144
87	3097	32103
88	3131	32052
89	3165	32008
90	3200	31969
91	3234	31918
92	3267	31869
93	3286	31673
94	3320	31631
95	3356	31605
96	3391	31569
97	3425	31527
98	3453	31429
99	3465	31188
100	3500	31158
101	3535	31127
102	3571	31104
103	3606	31072
104	3640	31028
105	3673	30983
106	3709	30957
107	3744	30928
108	3778	30888
109	3811	30839
110	3846	30806
111	3880	30766
112	3913	30722
113	3949	30693
114	3968	30543
115	4007	30536
116	4041	30504
117	4065	30388
118	4098	30345
119	4131	30300
120	4165	30260
121	4200	30232
122	4234	30191
123	4268	30153
124	4302	30119
125	4338	30091
126	4372	30057
127	4407	30025
128	4441	29986
129	4464	29879
130	4499	29848
131	4533	29813
132	4568	29777
133	4602	29744
134	4638	29720
135	4672	29681
136	4705	29643
137	4742	29622
138	4775	29579
139	4810	29548
140	4847	29529
141	4883	29506
142	4895	29340
143	4929	29304
144	4947	29174
145	4959	29009
146	4993	28977
147	5027	28939
148	5060	28904
149	5094	28871
150	5129	28843
151	5163	28806
152	5197	28771
153	5220	28677
154	5253	28642
155	5288	28610
156	5316	28548
157	5351	28516
158	5369	28402
159	5403	28368
160	5439	28346
161	5473	28311
162	5509	28289
163	5532	28204
164	5566	28170
165	5600	28135
166	5633	28100
167	5667	28069
168	5700	28032
169	5735	28005
170	5771	27978
171	5783	27843
172	5817	27811
173	5852	27782
174	5889	27766
175	5923	27734
176	5958	27705
177	5992	27671
178	6026	27641
179	6061	27611
180	6095	27582
181	6132	27561
182	6164	27522
183	6198	27486
184	6230	27449
185	6248	27344
186	6280	27306
187	6315	27275
188	6350	27251
189	6386	27226
190	6419	27192
191	6453	27158
192	6488	27131
193	6512	27057
194	6546	27025
195	6580	26991
196	6616	26968
197	6629	26851
198	6675	26871
199	6710	26840
200	6744	26811
201	6780	26787
202	6814	26756
203	6847	26719
204	6885	26701
205	6918	26665
206	6952	26635
207	6986	26602
208	7022	26578
209	7056	26546
210	7092	26520
211	7104	26407
212	7137	26372
213	7172	26342
214	7205	26307
215	7237	26270
216	7271	26238
217	7284	26129
218	7317	26094
219	7351	26064
220	7386	26036
221	7423	26017
222	7457	25983
223	7469	25875
224	7504	25847
225	7541	25826
226	7576	25799
227	7612	25775
228	7645	25742
229	7679	25709
230	7712	25676
231	7747	25646
232	7764	25558
233	7797	25525
234	7831	25493
235	7865	25462
236	7900	25433
237	7918	25352
238	7952	25320
239	7986	25290
240	8019	25257
241	8052	25222
242	8087	25193
243	8120	25161
244	8133	25064
245	8165	25028
246	8187	24961
247	8221	24930
248	8255	24898
249	8289	24868
250	8326	24845
251	8359	24814
252	8394	24785
253	8430	24761
254	8465	24732
255	8498	24699
256	8520	24633
257	8553	24600
258	8588	24571
259	8624	24547
260	8658	24516
261	8691	24482
262	8725	24450
263	8747	24388
264	8759	24294
265	8792	24260
266	8826	24231
267	8863	24209
268	8898	24181
269	8934	24155
270	8968	24126
271	9003	24097
272	9028	24044
273	9061	24009
274	9095	23978
275	9129	23947
276	9158	23904
277	9191	23870
278	9223	23836
279	9256	23801
280	9290	23772
281	9323	23738
282	9359	23712
283	9392	23680
284	9427	23651
285	9464	23627
286	9500	23603
287	9534	23571
288	9552	23501
289	9585	23468
290	9620	23439
291	9655	23412
292	9690	23383
293	9728	23360
294	9764	23334
295	9782	23266
296	9818	23239
297	9853	23211
298	9887	23182
299	9923	23154
300	9956	23120
301	9988	23086
302	10005	23016
303	10040	22988
304	10074	22956
305	10107	22922
306	10142	22895
307	10164	22837
308	10197	22804
309	10231	22772
310	10265	22743
311	10300	22713
312	10322	22656
313	10355	22622
314	10362	22533
315	10396	22503
316	10432	22477
317	10467	22448
318	10499	22415
319	10534	22385
320	10568	22355
321	10602	22323
322	10630	22280
323	10647	22215
324	10681	22183
325	10714	22151
326	10747	22119
327	10783	22092
328	10791	22008
329	10823	21975
330	10860	21949
331	10895	21923
332	10930	21893
333	10964	21864
334	10997	21830
335	11031	21799
336	11067	21773
337	11101	21743
338	11136	21713
339	11170	21683
340	11182	21611
341	11216	21579
342	11233	21517
343	11265	21483
